t,x,y,z,vx,vy,vz,earth_x,earth_y,earth_z,moon_x,moon_y,moon_z,sx,sy,sz
7073482.9010766037,-150213610802.6637,-8026945909.3475351,-3397920904.9356341,1901.4576629417652,-28200.782031634059,-12396.893812184524,-149911545713.46393,-7719382137.3277988,-3314774967.9309425,-150205295602.09018,-7971101212.7731295,-3386550794.0750608,1.0997066454758126,0.09190131533426224,0.021671236714006694
7080280.1417791741,-150200511817.56921,-8218559971.2298698,-3482166505.8294911,1952.6683686079041,-28179.183752991037,-12391.236320030503,-149903958728.21603,-7905598648.7551689,-3395509813.1736073,-150193424350.93234,-8162128119.9607,-3469456785.9465413,1.1004973897392982,0.094034606038019247,0.019245262248139421
7087077.3824817445,-150187066363.86768,-8410027455.42696,-3566372726.0671172,2003.4045747616019,-28157.654509365515,-12385.309298160328,-149896097497.01407,-8091802369.0815916,-3476238974.2366333,-150181191622.0097,-8353063530.1803865,-3552334418.1963797,1.1013236706306475,0.096037280546449277,0.016797377584083072
7093874.623184314,-150173277606.36743,-8601348851.1065578,-3650537788.1710739,2053.6839325841497,-28136.199913380118,-12379.128635662128,-149887962034.08942,-8277992970.2395296,-3556962309.5950646,-150168598970.50433,-8543905863.8134832,-3635182948.3251085,1.1021847861977143,0.097910136728822816,0.01433157828769918
7100671.8638868844,-150159148592.85028,-8792524680.7689457,-3734660019.2187986,2103.5232226073385,-28114.824196298858,-12372.709212472793,-149879552353.983,-8464170123.8792152,-3637679677.6379223,-150155647968.37772,-8734653570.1417904,-3718001643.4092875,1.1030799211864857,0.099654102765759478,0.011851647076086573
7107469.1045894548,-150144682260.00818,-8983555491.5688515,-3818737844.0973854,2152.9383518419786,-28093.530413353368,-12366.064934373202,-149870868471.55249,-8650333501.369379,-3718390936.6678743,-150142340203.75671,-8925305127.3294678,-3800789780.1455345,1.1040081560389938,0.10127021916328457,0.0093611619884206073
7114266.3452920243,-150129881439.35007,-9174441847.9525795,-3902769779.0211358,2201.9443648190281,-28072.320625547276,-12359.208774847573,-149861910401.97958,-8836482773.7983208,-3799095944.9010706,-150128677280.33075,-9115859042.3936787,-3883546644.8893833,1.1049684757795637,0.10275962295601351,0.0068635050868153533
7121063.5859945947,-150114748862.99622,-9365184325.4549999,-3986754425.3501873,2250.5554651705493,-28051.196059390149,-12352.152821460119,-149852678160.77704,-9022617611.9751301,-3879794560.4670372,-150114660816.76123,-9306313851.1643639,-3966271533.6890998,1.10595977868359,0.10412353390613707,0.0043618714695543006
7127860.8266971651,-150099287169.29797,-9555783505.5117779,-4070690463.7341571,2298.7850449269595,-28030.157246248938,-12344.908324861515,-149843171763.79565,-9208737686.4308014,-3960486641.4085393,-150100292446.10257,-9496668118.2335777,-4048963752.3145475,1.1069808846509315,0.10536324250490188,0.0018592784196861543
7134658.0673997346,-150083498908.23917,-9746239971.1548653,-4154576648.5936155,2346.6457192022212,-28009.204143121151,-12337.485748935442,-149833391227.23093,-9394842667.4196854,-4041172045.6815877,-150085573815.23547,-9686920436.8953972,-4131622616.2815518,1.1080305432272355,0.10648009959018601,-0.00064142545217439671
