# JPL Horizons, mars_bary (COMMAND=4)
# center=SSB(500@0) frame=ICRF/FRAME units=KM-S corr=NONE
# jdtdb,x_km,y_km,z_km,vx_kms,vy_kms,vz_kms
2454485.000000000,-6.129023646588307E+07,2.109262693675963E+08,9.837290477209932E+07,-2.251910009759658E+01,-3.978418375485520E+00,-1.216535863856898E+00
2454515.000000000,-1.171182197796690E+08,1.940931507651973E+08,9.215997825654852E+07,-2.035053298875668E+01,-8.900394874950482E+00,-3.532676388145839E+00
2454545.000000000,-1.658137498251683E+08,1.654293435411338E+08,8.032800651263039E+07,-1.705466205113105E+01,-1.308028938060226E+01,-5.538897563777857E+00
2454575.000000000,-2.047525296529743E+08,1.270459309683002E+08,6.377439088335190E+07,-1.285898498948664E+01,-1.638046702319282E+01,-7.165925178533612E+00
2454605.000000000,-2.318836716695985E+08,8.136400401302236E+07,4.355421347810927E+07,-7.979034931982814E+00,-1.869625837580977E+01,-8.359928093511563E+00
2454635.000000000,-2.457065115738106E+08,3.105024970580717E+07,2.085006812222845E+07,-2.625566178619124E+00,-1.994091838630368E+01,-9.075425336365914E+00
2454665.000000000,-2.452736897929023E+08,-2.101777007680196E+07,-3.043781215616342E+06,2.982805036589537E+00,-2.003778738861087E+01,-9.271349054497747E+00
2454695.000000000,-2.302317090710108E+08,-7.177579519674617E+07,-2.673139267867057E+07,8.603616463333420E+00,-1.892014424394682E+01,-8.910545177434548E+00
2454725.000000000,-2.009052679511842E+08,-1.180081084683114E+08,-4.872903196168432E+07,1.395314678022398E+01,-1.654023578585843E+01,-7.963445799038563E+00
2454755.000000000,-1.584252014163963E+08,-1.564207003651869E+08,-6.749527821369150E+07,1.869099806103396E+01,-1.288998302777564E+01,-6.417150297798754E+00
2454785.000000000,-1.048866836121970E+08,-1.837862399347990E+08,-8.149324231063089E+07,2.241372722123653E+01,-8.036023616258033E+00,-4.291323616987429E+00
2454815.000000000,-4.349951758204108E+07,-1.971987166324692E+08,-8.930330221335635E+07,2.466990485495855E+01,-2.168671055266176E+00,-1.661061567318552E+00
2454845.000000000,2.134696361412949E+07,-1.944640758400302E+08,-8.980052578676607E+07,2.501394136046559E+01,4.344915731757338E+00,1.317267140030109E+00
2454875.000000000,8.422466313896148E+07,-1.746077265008556E+08,-8.239125644148487E+07,2.311187032683196E+01,1.092975782043632E+01,4.388955501941698E+00
2454905.000000000,1.391406708795262E+08,-1.383882953068171E+08,-6.726156588737150E+07,1.888715903469020E+01,1.683682997286209E+01,7.212510224875643E+00
2454935.000000000,1.803826244299990E+08,-8.859911923275244E+07,-4.553838027877598E+07,1.264747541058689E+01,2.127558659274323E+01,9.417014557296600E+00
2454965.000000000,2.035674703523830E+08,-2.991302441427393E+07,-1.924661364400520E+07,5.099810815278427E+00,2.362337084068892E+01,1.069777231183322E+01
2454995.000000000,2.065171988708555E+08,3.181524709924642E+07,8.987139434367092E+06,-2.798665607935038E+00,2.361387910713608E+01,1.090678144787088E+01
2455025.000000000,1.895865327384297E+08,9.058233785678241E+07,3.639970480750667E+07,-1.009493850834830E+01,2.139416069961711E+01,1.008574748069376E+01
2455055.000000000,1.553424293464250E+08,1.412084549194070E+08,6.054590111358760E+07,-1.606286265884541E+01,1.742654099039131E+01,8.427113405956472E+00
2455085.000000000,1.078231437008211E+08,1.799327131317039E+08,7.959162611181302E+07,-2.029706501288698E+01,1.231371238845386E+01,6.196372211035894E+00
2455115.000000000,5.172562774605869E+07,2.045656491783125E+08,9.240576264340645E+07,-2.268236129642945E+01,6.645166715233218E+00,3.660798064907107E+00
2455145.000000000,-8.234560959731542E+06,2.143292773608698E+08,9.850409787424025E+07,-2.330299399477767E+01,9.123121087348638E-01,1.048061777798782E+00
2455175.000000000,-6.771681014837027E+07,2.095633162991704E+08,9.792520730854487E+07,-2.235047693073789E+01,-4.513662575330901E+00,-1.466409315936865E+00
